datadate,단가(원),거래량,거래대금(원),경매건수,도매시장코드,도매법인코드,산지코드 ,해당일자_전체평균가격(원),해당일자_전체거래물량(kg),하위가격 평균가(원),상위가격 평균가(원),하위가격 거래물량(kg),상위가격 거래물량(kg),일자별_도매가격_최대(원),일자별_도매가격_평균(원),일자별_도매가격_최소(원),일자별_소매가격_최대(원),일자별_소매가격_평균(원),일자별_소매가격_최소(원),수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러),주산지_0_초기온도(℃),주산지_0_최대온도(℃),주산지_0_최저온도(℃),주산지_0_평균온도(℃),주산지_0_강수량(ml),주산지_0_습도(%),주산지_1_초기온도(℃),주산지_1_최대온도(℃),주산지_1_최저온도(℃),주산지_1_평균온도(℃),주산지_1_강수량(ml),주산지_1_습도(%),주산지_2_초기온도(℃),주산지_2_최대온도(℃),주산지_2_최저온도(℃),주산지_2_평균온도(℃),주산지_2_강수량(ml),주산지_2_습도(%),일자구분_중순,일자구분_초순,일자구분_하순,월구분_10월,월구분_11월,월구분_12월,월구분_1월,월구분_2월,월구분_3월,월구분_4월,월구분_5월,월구분_6월,월구분_7월,월구분_8월,월구분_9월
20131002,3326.67,72,240240,2,320201,32020101,138,2912.440196,16834,2282.96649,3474.930536,7944,8890,,,,,,,0,0,1245342,3078188,-3078188,19.7,23.5,18.6,20.3,15,90.4,15.7,18.4,7.3,14.5,27.6, ,14.5,22.6,14.5,18.1,18.2,88.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20131003,4165.83,18,74925,1,320301,32030101,120,3479.262829,1442,2388.390519,3963.003003,443,999,,,,,,,0,0,1245342,3078188,-3078188,20.4,21.3,16.9,19.2,19.1,79.4,16.3,19.2,15,16.5,33.5, ,15.9,19.5,13.5,15.8,20,81.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20131004,,,,,,,,,,,,,,,,,,,,0,0,1245342,3078188,-3078188,17,19.7,16.3,18,2,71.9,15.3,19.3,13.3,15.9,0, ,14.2,19.2,11.4,14.3,0,78.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20131005,,,,,,,,,,,,,,,,,,,,0,0,1245342,3078188,-3078188,16.4,20.8,15.5,18.2,2,66.2,14.2,19.3,14,16.1,0, ,11.4,19.3,9.7,13.7,0,79.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20131006,,,,,,,,,,,,,,,,,,,,0,0,1245342,3078188,-3078188,17.8,20.6,17,18.7,20.6,88.3,15.4,17.9,15.4,16.8,19.7, ,12.9,18.7,12.6,15.5,7.2,89,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20131007,2502.5,10,25025,1,310901,31090101,901,3483.082468,6936,3025.060824,4117.508597,4028,2908,,,,,,,0,0,1245342,3078188,-3078188,18.7,23.8,18.2,20.4,23.3,87.3,17.6,24.5,15.6,19.6,25.5, ,16,24.3,14.5,18.4,8,84.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20131008,,,,,,,,,,,,,,,,,,,,0,0,1245342,3078188,-3078188,19.8,24.9,18.5,21.4,0,84.5,18,23.7,17.1,20.1,0, ,16.9,26.2,15.8,19.4,0,81.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20131009,3893.89,360,1398600,1,110001,11000103,800,3184.394939,4574,2281.589044,3884.630256,1998,2576,,,,,,,0,0,1245342,3078188,-3078188,20.2,29.3,18.1,23.3,0,74.7,17.6,28.6,16.1,20.9,0, ,16.2,26.4,15.4,19.3,0,84.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20131010,2497.5,30,75075,1,310901,31090101,901,3263.133842,20019,2960.394064,3695.629732,11776,8243,73000,70000,67000,13000,9595.238095,7000,0,0,1245342,3078188,-3078188,22.1,26.6,20.2,22.5,0,81.7,18.5,25.1,17.6,20.3,0, ,16.3,27.6,15.9,19.9,0,81.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20131011,4674.67,75,350350,1,310101,31010101,138,3418.872029,11912,2879.786514,3881.594105,5502,6410,73000,70000,67000,13000,9576.190476,7000,0,0,1245342,3078188,-3078188,20.6,24,18.5,20.2,0,84.2,18.5,20.2,15.7,17.8,2, ,18.5,20.5,14.3,18.1,4.4,87,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20131012,3816.18,680,2602600,3,360301,36030103,800,3013.067865,24441,2478.297513,3639.587801,13186,11255,73000,69000,65000,13000,9390,7000,0,0,1245342,3078188,-3078188,18.5,18.5,14.1,16.2,18.7,85.9,16.1,16.5,12.8,14.7,16.5, ,14.4,14.5,12.5,13.3,16.5,92.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20131013,5314.68,2,10639.35,1,330201,33020102,800,3189.007473,13902,1594.187553,3516.76703,2370,11532,73000,69000,65000,13000,9390,7000,0,0,1245342,3078188,-3078188,14.7,19.1,11.9,15.7,27,67.7,12.8,19.9,8.6,14.6,25, ,12.4,18.7,8.6,12.3,26,80.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20131014,4295.7,18,77322.6,1,250003,25000301,800,3667.91978,4085,3412.081183,4079.450702,2519,1566,,,,,,,0,0,1245342,3078188,-3078188,14.4,19.9,13.5,16.2,0,55,15.4,19.6,10.5,15.2,0, ,9.8,20.4,8.6,12.5,0,71.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20131015,,,,,,,,,,,,,,,,,,,,0,0,1245342,3078188,-3078188,15.6,19,15,17.8,0,61,14.1,18,13.4,15.2,0, ,9.2,18,8.6,12.9,0,72.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20131016,4285.71,85,365365,1,220001,22000105,903,2907.480895,19566,1905.976692,3433.290116,6736,12830,73000,69000,65000,13000,9390,7000,0,0,1245342,3078188,-3078188,18.5,20.1,14.8,18.4,0,61.9,14.1,19.8,12.3,15.6,0, ,11.3,19.3,9.8,13.5,0,78.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20131017,3673.67,972,3560436,12,380201,38020101,800,3371.850402,19659,2818.135525,3642.168892,6449,13210,73000,69000,65000,13000,9240,7000,0,0,1245342,3078188,-3078188,14.9,21.1,12.9,17.1,0,71.2,12.3,20.8,11.2,16.1,0, ,9.8,21.5,8.3,12.9,0,81.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20131018,3716.28,36,134134,2,320201,32020101,138,3558.826633,12233,3285.990567,3936.595556,7103,5130,73000,69000,65000,13000,9240,7000,0,0,1245342,3078188,-3078188,18.1,18.9,17.7,18.1,0,60.5,16.7,18.2,13.9,16.7,0, ,10.6,15.4,10.1,13.3,0,74.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20131019,4294.29,102,438438,3,371501,37150101,903,3763.358363,12676,3327.072611,4219.353701,6478,6198,73000,69000,65000,13000,9223.809524,7000,0,0,1245342,3078188,-3078188,18.1,18.8,14.7,16.5,3.9,78.1,14.3,16.1,13.2,14.4,3.3, ,11.5,16.9,9.3,12.8,1.9,86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20131020,579.42,20,11588.4,1,240001,24000101,57,3427.839475,7200,2880.693802,3979.25734,3614,3586,73000,69000,65000,13000,9223.809524,7000,0,0,1245342,3078188,-3078188,14.8,20.7,13.5,17.2,4.8,74.2,14.5,20.6,12.5,15.5,4, ,12.2,20.1,8.6,13,2,84.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20131021,3743.74,576,2153844,7,220001,22000101,800,3749.118138,8814,3555.336583,4281.21445,6461,2353,,,,,,,0,0,1245342,3078188,-3078188,15.8,20.3,13.8,17.7,0,70.7,12.7,20.9,11.8,15.7,0, ,9.8,20.2,7.7,12.5,0,80.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131022,,,,,,,,,,,,,,,,,,,,0,0,1245342,3078188,-3078188,18.9,20.2,14.8,18.6,0,67.1,15.3,20.8,13.8,17,1, ,8.1,18.9,7,14.1,0,68.6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131023,4294.29,34,146146,1,220001,22000105,702,3523.231115,18332,2941.992429,3999.377325,8255,10077,73000,69000,65000,13000,9223.809524,7000,0,0,1245342,3078188,-3078188,14.9,17.2,11.9,14.6,0,55.5,14.9,16.5,8.9,13,1, ,13,16.3,4.2,11.2,0,59.9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131024,5994,2,11988,1,350402,35040202,500,3722.786218,15770,3181.620976,4153.51209,6989,8781,73000,69000,65000,13000,9290,7000,0,0,1245342,3078188,-3078188,12,17.7,10.3,13.6,0,64,9.1,18,8.1,11.9,0, ,4.2,17.3,2.8,8.8,0,74.8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131025,3673.67,360,1318680,4,360301,36030102,138,3714.782031,13739,3433.806856,4034.073988,7308,6431,73000,69000,65000,13000,9290,7000,0,0,1245342,3078188,-3078188,10.9,20.6,8.5,13.9,0,65.7,8.3,19.3,5.6,12,0, ,5.1,18.7,2.4,8.2,0,82.8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131026,3606.39,54,194805,2,320201,32020101,138,3283.652288,15387,2812.077409,3903.38778,8738,6649,73000,69000,65000,12900,9135,7000,0,0,1245342,3078188,-3078188,12.1,19.5,9.3,14.6,0,70.8,8.5,19.2,6.7,13.4,0, ,4.6,18.9,4.3,10.1,0,80.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131027,3666.33,144,529529,2,370101,37010102,800,3613.193259,7253,3374.468837,3900.750976,3963,3290,73000,69000,65000,12900,9085,7000,0,0,1245342,3078188,-3078188,14.3,20.9,12.5,16.5,0,69.9,12.5,20.7,10.5,15.4,0, ,9.4,21.5,7.4,12.8,0,78.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131028,3766.23,90,339339,3,370101,37010101,800,3379.229275,4122,2581.767532,3854.864861,1540,2582,,,,,,,0,0,1245342,3078188,-3078188,15.8,19.8,15.5,18.2,0,75.7,15.9,20.9,14.2,16.9,0, ,11.2,20,7.7,13.4,0,80.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131029,,,,,,,,,,,,,,,,,,,,0,0,1245342,3078188,-3078188,17.6,23.7,11.1,17.5,0,56.6,14.8,22.1,10.2,16.3,0, ,11.2,20.5,6.7,12.7,0,72.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131030,4034.03,36,145145,2,320101,32010101,680,2953.530485,16460,1897.689433,3701.066388,6823,9637,73000,69000,65000,12900,9202.5,7000,0,0,1245342,3078188,-3078188,11.1,16.1,7.2,11.2,0,37.7,10.3,15.8,5.8,10.8,0, ,7.1,13.1,1,6.9,0,54.8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131031,3886.11,90,349650,1,310901,31090101,901,3362.723576,21814,2949.572549,3824.655227,11515,10299,73000,69600,67000,12900,9202.5,7000,0,0,1245342,3078188,-3078188,8.8,19.2,6.1,11.9,0,34.7,6,19.7,3.4,10.9,0, ,-0.9,15.7,-3.2,5.5,0,64.4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20131101,3166.83,1312,4162158,3,110001,11000104,800,3369.288843,10806,3018.317153,3801.588546,5964,4842,73000,69600,67000,12900,9152.5,7000,0,0,1156367,3086581,-3086581,11,20.7,10,14.9,0,49.3,12.7,17,9.9,13.1,0, ,6.1,15.8,5,9.9,0,70.8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20131102,3776.22,18,68068,1,220001,22000101,800,3394.75539,14882,2860.257139,3843.739209,6794,8088,73000,69600,67000,12900,9144.736842,7000,0,0,1156367,3086581,-3086581,13.9,20.7,12.2,15.9,0,62.8,10.2,20.7,10.2,14.4,0, ,6.5,19.7,5.5,10.9,0,78,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20131103,3633.63,144,522477,3,370101,37010101,800,2321.874245,14964,1224.517141,3348.818784,7234,7730,73000,70400,68000,12900,9144.736842,7000,0,0,1156367,3086581,-3086581,14.1,22,11.3,15.7,0,64,10.7,21.1,9.4,14.6,0, ,6,17.4,4,10,0,76.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20131104,3333.33,936,3123120,1,250003,25000302,800,3576.152913,6798,3258.169797,3987.471154,3834,2964,,,,,,,0,0,1156367,3086581,-3086581,11.3,14.3,8.3,10.5,0,57.4,10.6,15,4.9,9.5,2, ,8.2,13.4,1,7.2,0,62,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20131105,,,,,,,,,,,,,,,,,,,,0,0,1156367,3086581,-3086581,8.5,17,6.3,11,0,46,9.4,16.6,5.9,10.3,2, ,0.3,14.1,-2.9,5.5,0,73.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20131106,4015.98,36,144655.2,2,250003,25000301,800,3341.643132,8608,3065.024319,3685.434622,4770,3838,73000,70400,68000,12900,9144.736842,7000,0,0,1156367,3086581,-3086581,10.9,21.4,8.2,14.1,0,43.1,7.2,22.3,5.7,13.4,0, ,-0.2,17.3,-2.4,5.5,0,73.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20131107,2937.06,34,100100,1,230001,23000101,800,3160.673839,18249,2737.978868,3673.547153,10004,8245,73000,70400,68000,13000,9184.210526,7000,0,0,1156367,3086581,-3086581,13,21.8,10.4,16.1,0,56.7,15.8,20.1,8.6,15.4,0, ,2.2,18.9,1,11.1,0,75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20131108,3276.72,288,945945,3,230001,23000103,800,3577.249327,9602,3346.099636,3887.176997,5500,4102,73000,70400,68000,13000,9184.210526,7000,0,0,1156367,3086581,-3086581,16.6,23,12.9,17.9,0,52.3,18.3,22.7,12.1,18.1,0, ,9.1,19.4,3,11.5,0,65.8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20131109,3996,102,407592,2,220001,22000105,903,3443.838254,10779,2727.781839,4152.88747,5363,5416,73000,70400,68000,13000,9215,7000,0,0,1156367,3086581,-3086581,12.9,18.4,8.9,13.4,0,55,12.7,17,5.6,11.8,0, ,3.3,17.4,1,7.9,0,68.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20131110,5314.68,2,10639.35,1,330201,33020102,800,2700.425096,21904,1912.59993,3360.051905,9982,11922,73000,69800,67000,13000,9215,7000,0,0,1156367,3086581,-3086581,11.5,21.7,9.1,15.3,0,61,10.8,20.4,9.2,15.4,0, ,2.3,18.1,1,9.9,0,69.9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20131111,3166.83,360,1141140,5,310101,31010102,138,1922.111872,12702,1092.096774,3693.343203,8649,4053,,,,,,,0,0,1156367,3086581,-3086581,12.3,12.8,6.1,9.4,0,39.3,11.2,12,3.6,7.9,0, ,8.9,11.4,-2.4,5.7,0,48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20131112,,,,,,,,,,,,,,,,,,,,0,0,1156367,3086581,-3086581,6.1,15.8,2.1,8.8,0,42,4.5,15.2,1,7.7,0, ,-2.4,12.6,-5.5,2.4,0,67.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20131113,3466.53,108,374625,2,320101,32010101,680,3181.189198,16298,2752.817158,3584.455932,7903,8395,71000,68800,67000,13000,9215,7000,0,0,1156367,3086581,-3086581,7.9,17,5.9,11.1,0,40.5,5.6,16.5,4.5,10.5,0, ,-1.2,12.6,-4.1,3.6,0,66.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20131114,3333.33,540,1801800,4,220001,22000103,800,3287.803764,7269,2869.308772,3659.654341,3420,3849,71000,68800,67000,13000,9273.684211,7000,0,0,1156367,3086581,-3086581,11.9,16.9,7.9,12.6,0,39.9,13.1,16.6,6.6,12.2,0, ,3.9,14,3.2,8.1,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20131115,1651.65,1206,1994993,6,210001,21000101,135,2964.888284,12406,2568.129483,3446.778124,6804,5602,71000,68800,67000,13000,9244.444444,7000,0,0,1156367,3086581,-3086581,7.9,11.9,4.8,7.9,0,39.9,7.2,11.2,1,6.7,0, ,5,8.2,-1.5,4.5,0,46.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20131116,4875.12,41,200200,3,110001,11000101,800,3454.034466,11297,3148.676644,3869.752588,6513,4784,71000,68800,67000,13000,9410,7000,0,0,1156367,3086581,-3086581,4.8,10.3,2.4,5.9,0,40,-0.2,9.5,-2.1,4.2,0, ,-0.5,7.6,-4.8,1.3,0,46.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20131117,1831.83,1296,2378376,13,230003,23000301,800,2943.699869,9669,1786.967732,3497.38875,3130,6539,71000,68200,67000,13000,9385.714286,7000,0,0,1156367,3086581,-3086581,3.9,13.4,2.4,8.3,0,37.7,1.5,13.6,1,9.2,0, ,-4.2,11.5,-7.5,2,0,52.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20131118,3503.5,486,1699299,1,110008,11000802,800,3567.180948,7107,2727.370957,4258.548384,3209,3898,,,,,,,0,0,1156367,3086581,-3086581,11.1,11.2,1,7.1,0,37.1,11.2,11.6,1,6.1,0, ,4.5,7.1,-3.3,2.9,0,43.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20131119,,,,,,,,,,,,,,,,,,,,0,0,1156367,3086581,-3086581,-0.4,6.6,-1.5,3.1,0,28.2,0.8,7.4,-1.7,3.4,0, ,-3,4,-8.6,-2,0,33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20131120,4004,17,68068,1,371501,37150101,903,3343.916888,11257,3009.28199,3503.11852,3629,7628,71000,68200,67000,13000,9381.818182,7000,0,0,1156367,3086581,-3086581,2.4,9.3,1.9,5.1,0,37.4,2.8,4.1,1.1,2.8,0, ,-0.4,6.8,-3.6,2.5,0,43.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20131121,3716.28,18,66933,1,370101,37010102,800,3239.633735,12657,3065.148221,3500.828465,7588,5069,71000,68200,67000,13000,9356.363636,7000,0,0,1156367,3086581,-3086581,3,12.9,1.4,6.4,0,50,0.6,12.7,-1,6.5,0, ,-2.8,9.7,-7.3,-0.8,0,62.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20131122,3606.39,918,3318315,10,340101,34010101,800,3584.049951,10815,3115.912845,4103.989114,5691,5124,71000,68200,67000,13000,9356.363636,7000,0,0,1156367,3086581,-3086581,3.8,13.5,2.9,8,0,47.7,6.6,12.7,3.2,7.6,0, ,-5.2,7.6,-5.7,1.4,0,66.8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20131123,3496.5,18,63063,1,350402,35040201,561,3361.214256,9034,3164.059693,3974.016183,6835,2199,71000,68200,67000,13000,9356.363636,7000,0,0,1156367,3086581,-3086581,7.3,8.2,1.5,4.8,0,37.3,6,8.3,-2.4,3.7,0, ,2.8,6.1,-6.6,0.7,0,44.6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20131124,3173.17,72,228228,3,310101,31010102,138,3146.298037,11360,2760.969191,3342.288672,3830,7530,71000,68200,67000,13000,9356.363636,7000,0,0,1156367,3086581,-3086581,2.2,7.6,1.2,3.8,0,57.8,-2.2,6.9,-2.3,3.1,0, ,-3.9,3.1,-4.5,-0.3,0,67.6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20131125,3353.35,918,3081078,4,360301,36030103,800,3333.10753,4960,3085.886339,3477.648994,1830,3130,,,,,,,0,0,1156367,3086581,-3086581,1.4,11.4,-1.7,6.6,0,53.7,-1.9,12,-3.6,5.1,0, ,-3.8,8.3,-7.8,-0.5,0,67.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20131126,,,,,,,,,,,,,,,,,,,,0,0,1156367,3086581,-3086581,9,15.4,5.6,9.8,0,62.8,11.6,13.9,3.3,9.4,0, ,-2.5,10,-3.5,1.7,0,84.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20131127,2497.5,25,62437.5,3,310901,31090101,901,3392.349968,18234,2984.280769,3815.926436,9287,8947,68000,67000,65000,13000,9356.363636,7000,0,0,1156367,3086581,-3086581,5.6,13.9,4.5,9.2,0,66.5,4.3,13.4,3.8,8.6,0, ,-2.5,14,-5.5,2.2,0,78.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20131128,7507.5,6,44955,3,350402,35040202,500,3307.530359,7429,2994.65213,3670.538249,3990,3439,68000,67600,67000,13000,9356.363636,7000,0,0,1156367,3086581,-3086581,8.5,17.3,6.8,11.9,0,67.2,7.4,17.1,6,12.2,0, ,-0.5,12.5,-3.3,4.2,0,79.9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20131129,3216.78,72,232232,2,330201,33020101,138,3511.611882,8950,3258.021567,4116.430537,6306,2644,68000,67600,67000,13000,9401.818182,7000,0,0,1156367,3086581,-3086581,10.9,16.1,9.6,12,0,45.1,6.4,14.9,5.3,10,0, ,1.9,12.4,-1.4,7.4,0,59.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20131130,3193.19,1944,6216210,2,210009,21000902,801,3326.25126,20044,3081.208428,3510.022686,8590,11454,68000,67600,67000,13000,9329.090909,7000,0,0,1156367,3086581,-3086581,9.6,10.3,1,6.9,0,24.6,8.5,11.1,1,6.8,0, ,2,7,-2.9,2.8,0,33.6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20131201,3886.11,1620,6306300,1,310901,31090105,800,3000.96143,9638,2434.206325,3568.422625,4822,4816,,,,,,,0,2,1018011,2704907,-2704905,0.2,5.8,-1.9,2.3,0,23.2,0.5,6.9,-3.3,1.3,0, ,-2.9,2.8,-10,-3.4,0,31.9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20131202,2672.67,972,2594592,1,310901,31090105,800,2349.364128,10129,639.9760766,3359.371643,3762,6367,,,,,,,0,2,1018011,2704907,-2704905,-0.1,9,1,5.8,0,39.6,-3.3,9.3,-4.1,3.1,0, ,-6.9,6.2,-10.7,-3.1,0,58.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20131203,,,,,,,,,,,,,,,,,,,,0,2,1018011,2704907,-2704905,3.3,13.7,1,6.5,0,52.5,5.8,12.4,1,6,0, ,-5.2,9.5,-8.2,-0.8,0,73.7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20131204,3333.33,108,359640,2,320101,32010101,680,3216.546574,8802,3022.117966,3449.530704,4798,4004,68000,67600,67000,13000,9310.909091,7000,0,2,1018011,2704907,-2704905,6.3,9.6,1,6.4,0,47.8,5.3,10,-1.1,5.8,0, ,0.2,6.8,-3.7,0.7,0,57.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20131205,3323.32,54,179399.22,1,320201,32020102,138,3654.389008,6400,3282.374999,5354.515692,5251,1149,68000,67600,67000,13000,9310.909091,7000,0,2,1018011,2704907,-2704905,-0.7,3.2,-3.7,-0.5,0,35,-1,3.1,-5.8,-1.8,0, ,-3.5,-1,-8.1,-4.4,0,34.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20131206,3783.78,36,135864,2,320201,32020102,760,3345.227071,7255,3187.600109,3507.573139,3681,3574,68000,67600,67000,13000,9310.909091,7000,0,2,1018011,2704907,-2704905,-1.9,7.4,-3.5,1.9,0,48.8,-5.9,6.6,-6.3,-0.1,0, ,-7.7,3.9,-9.7,-3.8,0,64.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20131207,3056.94,972,2967030,5,220001,22000106,800,3093.206005,22257,2679.925393,3474.190705,10676,11581,68000,67600,67000,13000,8947.272727,7000,0,2,1018011,2704907,-2704905,0.5,8.2,1,4.6,0,54,0.1,7.4,-1.1,4.3,0, ,-4.7,4.2,-5.9,-1.3,0,79.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20131208,3873.87,390,1506492,6,310101,31010103,800,3017.545275,13294,2399.178361,3382.147362,4931,8363,68000,67600,67000,13000,8947.272727,7000,0,2,1018011,2704907,-2704905,2,4.3,-2.3,1.4,0,33.5,2.1,5,-2.6,1.4,0, ,-5.3,1.6,-7.3,-3.6,0,43.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
